source_file,dataset,model,model_seed,checkpoint_label,batch_id,method,scope,unit,cosine,cosine_defined,relative_l2,norm_ratio,reference_norm,candidate_norm,max_abs_difference,sign_agreement,elements
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,top_level,0,1.0,True,0.0,1.0,0.0680119435784372,0.0680119435784372,0.0,1.0,156
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,top_level,1,0.9999999999999996,True,0.0,1.0,0.1687334585543004,0.1687334585543004,0.0,1.0,2416
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,top_level,3,0.9999999999999868,True,0.0,1.0,0.2563031699676058,0.2563031699676058,0.0,1.0,48120
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,top_level,4,0.9999999999999972,True,0.0,1.0,0.147476296645712,0.147476296645712,0.0,1.0,10164
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,top_level,5,1.0,True,0.0,1.0,0.1124994366510128,0.1124994366510128,0.0,1.0,850
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,parameter,0.0.weight,1.0,True,0.0,1.0,0.0531033204840599,0.0531033204840599,0.0,1.0,150
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,parameter,0.0.bias,1.0,True,0.0,1.0,0.0424930797058032,0.0424930797058032,0.0,1.0,6
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,parameter,1.0.weight,0.9999999999999992,True,0.0,1.0,0.1665812970622153,0.1665812970622153,0.0,1.0,2400
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,parameter,1.0.bias,1.0,True,0.0,1.0,0.0268635720775512,0.0268635720775512,0.0,1.0,16
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,parameter,3.0.weight,0.9999999999999876,True,0.0,1.0,0.2557253360767648,0.2557253360767648,0.0,1.0,48000
results/stage3/layerwise/confirmatory/raw/seed-0/final/same-state/gradient_metrics.csv,FashionMNIST,lenet_classic,0,final,0,exact,parameter,3.0.bias,0.9999999999999998,True,0.0,1.0,0.0172007971870225,0.0172007971870225,0.0,1.0,120
