cell_id,block_id,candidate_id,method,depth,width,batch_size,model_seed,event_count,measured_step_count,event_count_per_measured_step,median_logical_edge_count_per_event,graph_module_coverage_fraction,maximum_graph_island_count,orchestration_barriers_per_measured_step,graph_lifetime_distribution_json
s3b-cell-7c78edd9ab46d4b737a1,s3b-block-50d43d8828871a666303,stage2_baseline,fixedpred,32,256,64,72,80000,250,320.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":80000}"
s3b-cell-7d24f686e232eccf0fcd,s3b-block-248d76724a8cf4455766,composite_vjp,fixedpred,4,64,256,70,2500,250,10.0,4.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-7eb22693c55b32775c10,s3b-block-db597d2061c77097a989,isolated_layer_vjp,strict,4,64,256,70,15000,250,60.0,1.0,0.75,1,0.0,"{""single_vjp_call"":15000}"
s3b-cell-7f4b09156d27ceeadda0,s3b-block-5293bf2a6dda7849ebe0,stage2_baseline,strict,16,256,64,71,75000,250,300.0,1.0,0.9375,1,0.0,"{""single_vjp_call"":75000}"
s3b-cell-7f8a9bacc2c870ce3f8f,s3b-block-01194f62493fd247f6f1,isolated_layer_vjp,fixedpred,32,256,256,70,80000,250,320.0,1.0,1.0,1,0.0,"{""single_vjp_call"":80000}"
s3b-cell-8166c3e5d0a5db759356,s3b-block-dfee844b8bfb62c631e6,composite_vjp,fixedpred,32,64,256,70,2500,250,10.0,32.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-817ba3fc9aa75b7e7578,s3b-block-f17b38a3987bce4706d1,stage2_baseline,strict,16,256,256,71,75000,250,300.0,1.0,0.9375,1,0.0,"{""single_vjp_call"":75000}"
s3b-cell-83c2185a4cd71b249e11,s3b-block-858205a4ccbe49c37e00,isolated_layer_vjp,fixedpred,8,256,64,71,20000,250,80.0,1.0,1.0,1,0.0,"{""single_vjp_call"":20000}"
s3b-cell-8448aea2112431a2859a,s3b-block-4bfe422a2c01b57a2405,composite_vjp,strict,4,64,64,71,5000,250,20.0,3.0,0.75,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-84c9d274cdb976ed1ea7,s3b-block-5623456ecc73c4de5b83,isolated_layer_vjp,strict,16,256,256,72,75000,250,300.0,1.0,0.9375,1,0.0,"{""single_vjp_call"":75000}"
s3b-cell-85a674901c932193a9e7,s3b-block-e38893f5f5eb3e81b23e,composite_vjp,strict,8,256,256,72,5000,250,20.0,7.0,0.875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-86cd3026ae79765129a8,s3b-block-ddc92b0625b483a884e3,stage2_baseline,strict,8,256,64,72,35000,250,140.0,1.0,0.875,1,0.0,"{""single_vjp_call"":35000}"
s3b-cell-8830653b4bb31288ee7a,s3b-block-858205a4ccbe49c37e00,stage2_baseline,fixedpred,8,256,64,71,20000,250,80.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":20000}"
s3b-cell-89c720c1076140957bec,s3b-block-48ba4e0d32360c38db27,stage2_baseline,strict,8,64,64,70,35000,250,140.0,1.0,0.875,1,0.0,"{""single_vjp_call"":35000}"
s3b-cell-8a0313b11012b1cc7e47,s3b-block-03dd886dc9d22a85f182,isolated_layer_vjp,fixedpred,4,64,256,72,10000,250,40.0,1.0,1.0,1,0.0,"{""single_vjp_call"":10000}"
s3b-cell-8a04056f1cbd0d0d9ec6,s3b-block-d21540cc9c7bae2324da,isolated_layer_vjp,fixedpred,4,64,64,71,10000,250,40.0,1.0,1.0,1,0.0,"{""single_vjp_call"":10000}"
s3b-cell-8b3e3e71285efb7113ca,s3b-block-0dcba60dfd67454824e3,isolated_layer_vjp,fixedpred,16,256,256,71,40000,250,160.0,1.0,1.0,1,0.0,"{""single_vjp_call"":40000}"
s3b-cell-8c78d1983ec18eff1b7e,s3b-block-8bd164e99139f225afc6,composite_vjp,strict,16,64,256,70,5000,250,20.0,15.0,0.9375,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-8d9d9f264dd380368a8f,s3b-block-c7dd1b63aab3be279169,composite_vjp,fixedpred,32,64,64,71,2500,250,10.0,32.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-8dff9904d4572a4cafca,s3b-block-2ba7a97fcdd9242b2b3b,composite_vjp,fixedpred,4,64,256,71,2500,250,10.0,4.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-8ef1479647b37ef7c710,s3b-block-a2183841e5874032a40b,composite_vjp,fixedpred,32,256,256,71,2500,250,10.0,32.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-8f3ef95fb88569385de3,s3b-block-4bfe422a2c01b57a2405,stage2_baseline,strict,4,64,64,71,15000,250,60.0,1.0,0.75,1,0.0,"{""single_vjp_call"":15000}"
s3b-cell-918b93dce8ba909ba81d,s3b-block-6e94bca68e9ec88279a0,stage2_baseline,strict,32,64,64,71,155000,250,620.0,1.0,0.96875,1,0.0,"{""single_vjp_call"":155000}"
s3b-cell-91d30594e7126b4b2565,s3b-block-fbc757a5037e1e104d06,stage2_baseline,fixedpred,8,64,256,71,20000,250,80.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":20000}"
s3b-cell-93536c17e97afdafda38,s3b-block-b91eb1ba30f3b1df6cd1,stage2_baseline,fixedpred,4,256,64,71,10000,250,40.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":10000}"
s3b-cell-936f47d4393d01da2670,s3b-block-468115f1002de4acf41a,stage2_baseline,fixedpred,32,256,256,72,80000,250,320.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":80000}"
s3b-cell-939a8c5f4863a731157b,s3b-block-9e3031c8e1de1017d07e,composite_vjp,fixedpred,4,256,256,70,2500,250,10.0,4.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-941b60cc032ab0d51200,s3b-block-48ba4e0d32360c38db27,composite_vjp,strict,8,64,64,70,5000,250,20.0,7.0,0.875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-95cc05ec7990d4a79808,s3b-block-5293bf2a6dda7849ebe0,composite_vjp,strict,16,256,64,71,5000,250,20.0,15.0,0.9375,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-96715a62d54bddd13a58,s3b-block-5a95fb95a9231b0407ce,composite_vjp,strict,32,64,256,72,5000,250,20.0,31.0,0.96875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-975c1452389689836e45,s3b-block-e83ff808cf35f32b4a81,composite_vjp,strict,8,64,64,71,5000,250,20.0,7.0,0.875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-9859212a662e48e6ec95,s3b-block-929a1b2367208204c01f,isolated_layer_vjp,fixedpred,8,64,64,71,20000,250,80.0,1.0,1.0,1,0.0,"{""single_vjp_call"":20000}"
s3b-cell-9861f1004a37f05001a5,s3b-block-6343adee427ef9c6c1dc,stage2_baseline,fixedpred,8,256,256,71,20000,250,80.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":20000}"
s3b-cell-9969e85b0ba8c77a65d9,s3b-block-def205922958b1e906ca,composite_vjp,strict,4,256,64,72,5000,250,20.0,3.0,0.75,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-999ee1de7aa985628902,s3b-block-1b87ab8a31783316765a,stage2_baseline,strict,32,64,256,70,155000,250,620.0,1.0,0.96875,1,0.0,"{""single_vjp_call"":155000}"
s3b-cell-99ddca8d49970781f837,s3b-block-2b2e9efa1f112a82e9a2,composite_vjp,fixedpred,32,256,64,71,2500,250,10.0,32.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-9a57d795fe5fec3bb3d8,s3b-block-7e8ea96acc135bafc97b,isolated_layer_vjp,fixedpred,8,256,256,72,20000,250,80.0,1.0,1.0,1,0.0,"{""single_vjp_call"":20000}"
s3b-cell-9b0b3cec21d8767755ea,s3b-block-ba173cd73d0e1c5d29f5,composite_vjp,strict,4,64,256,71,5000,250,20.0,3.0,0.75,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-9bb60e835530c80553a4,s3b-block-73e9fa86f8a041731cdf,composite_vjp,strict,16,64,64,70,5000,250,20.0,15.0,0.9375,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-9c354ea3285c5de26a82,s3b-block-a55c3a89c984c8936ba5,composite_vjp,fixedpred,8,64,64,70,2500,250,10.0,8.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-9c5efe908acedc126fe8,s3b-block-f17b38a3987bce4706d1,isolated_layer_vjp,strict,16,256,256,71,75000,250,300.0,1.0,0.9375,1,0.0,"{""single_vjp_call"":75000}"
s3b-cell-9ca16332b53313e555e6,s3b-block-b476ac8f4a666adc105c,isolated_layer_vjp,fixedpred,16,256,64,71,40000,250,160.0,1.0,1.0,1,0.0,"{""single_vjp_call"":40000}"
s3b-cell-9ce2f8052bbcbc00d2b1,s3b-block-89fbb803c6ec0394f3f0,isolated_layer_vjp,fixedpred,16,64,64,71,40000,250,160.0,1.0,1.0,1,0.0,"{""single_vjp_call"":40000}"
s3b-cell-9cee32ec303513f1780f,s3b-block-550d367ca244ec32ef93,composite_vjp,fixedpred,4,64,64,72,2500,250,10.0,4.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-9e3f60132565995bd1d9,s3b-block-7e8ea96acc135bafc97b,stage2_baseline,fixedpred,8,256,256,72,20000,250,80.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":20000}"
s3b-cell-9ea73590fd2f5bc019f6,s3b-block-550d367ca244ec32ef93,stage2_baseline,fixedpred,4,64,64,72,10000,250,40.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":10000}"
s3b-cell-9f19fee63505e5281c54,s3b-block-770f17bf150216638d72,composite_vjp,strict,8,256,64,70,5000,250,20.0,7.0,0.875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-a1060c9c167558d81d6b,s3b-block-1c1e8b7285564b954ea1,stage2_baseline,fixedpred,32,64,256,72,80000,250,320.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":80000}"
s3b-cell-a1da46f37329dbc581d8,s3b-block-2f8f2e15c6be445829b9,stage2_baseline,strict,32,256,256,72,155000,250,620.0,1.0,0.96875,1,0.0,"{""single_vjp_call"":155000}"
s3b-cell-a2e4bf1fbdacb5e326c1,s3b-block-98eef593a40cbcdef8e7,composite_vjp,strict,32,64,64,72,5000,250,20.0,31.0,0.96875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-a3d5c3368b4cd7af90a1,s3b-block-1fd577634741b207f982,stage2_baseline,fixedpred,4,64,64,70,10000,250,40.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":10000}"
s3b-cell-a433ce60d2636cdd48ce,s3b-block-8bd164e99139f225afc6,stage2_baseline,strict,16,64,256,70,75000,250,300.0,1.0,0.9375,1,0.0,"{""single_vjp_call"":75000}"
s3b-cell-a4777b0956ae4bf4333a,s3b-block-2b2e9efa1f112a82e9a2,isolated_layer_vjp,fixedpred,32,256,64,71,80000,250,320.0,1.0,1.0,1,0.0,"{""single_vjp_call"":80000}"
s3b-cell-a4e767d7c79b31f10a74,s3b-block-89e5aee5e8dffdf6b3ed,isolated_layer_vjp,strict,8,64,256,71,35000,250,140.0,1.0,0.875,1,0.0,"{""single_vjp_call"":35000}"
s3b-cell-a51b928dab4bbb6039c0,s3b-block-0e5b912a97aaa0188407,stage2_baseline,fixedpred,8,64,64,72,20000,250,80.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":20000}"
s3b-cell-a54d2b30d39e1b6f1b5f,s3b-block-321102a72410315d0551,stage2_baseline,fixedpred,8,64,256,72,20000,250,80.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":20000}"
s3b-cell-a56d936109a0df17edd1,s3b-block-ceea80bf2a91e34a5d19,stage2_baseline,fixedpred,4,256,256,71,10000,250,40.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":10000}"
s3b-cell-a6b27c80a806f886a8a2,s3b-block-2cf74f689f6a282264ed,composite_vjp,strict,32,256,64,72,5000,250,20.0,31.0,0.96875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-a6c239835d611ad528e6,s3b-block-8786fb5044e20025df06,isolated_layer_vjp,fixedpred,32,256,64,70,80000,250,320.0,1.0,1.0,1,0.0,"{""single_vjp_call"":80000}"
s3b-cell-a6c91fa6fefd5bcf9a05,s3b-block-cbb29f5f2dc9cf1bd0d0,composite_vjp,strict,4,256,256,70,5000,250,20.0,3.0,0.75,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-a6fec96a9df788c05441,s3b-block-89fbb803c6ec0394f3f0,stage2_baseline,fixedpred,16,64,64,71,40000,250,160.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":40000}"
s3b-cell-a79c29e9ea0e2864422f,s3b-block-7301c6b6a4a9d50fba77,isolated_layer_vjp,fixedpred,4,256,256,72,10000,250,40.0,1.0,1.0,1,0.0,"{""single_vjp_call"":10000}"
s3b-cell-a948b562ef61d749b7e2,s3b-block-468115f1002de4acf41a,composite_vjp,fixedpred,32,256,256,72,2500,250,10.0,32.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-ab68b728b70fa934dd78,s3b-block-8786fb5044e20025df06,stage2_baseline,fixedpred,32,256,64,70,80000,250,320.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":80000}"
s3b-cell-ac50728ca9cc0fc361e6,s3b-block-ba173cd73d0e1c5d29f5,isolated_layer_vjp,strict,4,64,256,71,15000,250,60.0,1.0,0.75,1,0.0,"{""single_vjp_call"":15000}"
s3b-cell-ad21ef15989b00cc374c,s3b-block-7e8ea96acc135bafc97b,composite_vjp,fixedpred,8,256,256,72,2500,250,10.0,8.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-add3f84039c029a245f7,s3b-block-0e5b912a97aaa0188407,composite_vjp,fixedpred,8,64,64,72,2500,250,10.0,8.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-ae463c21b684b46c8f40,s3b-block-a828de0cbfc11c598661,stage2_baseline,strict,32,256,64,70,155000,250,620.0,1.0,0.96875,1,0.0,"{""single_vjp_call"":155000}"
s3b-cell-af6830b419e1f4dffef5,s3b-block-48bf63ad14fc2bc1ff7a,isolated_layer_vjp,fixedpred,16,256,64,72,40000,250,160.0,1.0,1.0,1,0.0,"{""single_vjp_call"":40000}"
s3b-cell-b25bd26d0dc2e92b9d71,s3b-block-1c1e8b7285564b954ea1,composite_vjp,fixedpred,32,64,256,72,2500,250,10.0,32.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-b2d3d9040e593a1b9189,s3b-block-79c2b893b57e307e1d01,stage2_baseline,fixedpred,16,64,64,70,40000,250,160.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":40000}"
s3b-cell-b4397b05cd716af9e599,s3b-block-66658e6e3b8416c34d1a,composite_vjp,strict,8,256,256,71,5000,250,20.0,7.0,0.875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-b6581194672626285a1b,s3b-block-d5ff53aa5589df11a40e,composite_vjp,strict,4,256,256,71,5000,250,20.0,3.0,0.75,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-b6982f1a16c7c9be7475,s3b-block-ee8ffa90a0acd26c78a2,composite_vjp,fixedpred,32,64,64,70,2500,250,10.0,32.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-bac1940f3e8055170e1e,s3b-block-8e19192b0dad4fc3113c,isolated_layer_vjp,fixedpred,16,256,64,70,40000,250,160.0,1.0,1.0,1,0.0,"{""single_vjp_call"":40000}"
s3b-cell-be1aa2eb735f5f40182d,s3b-block-2aeb2e45735b91688bf1,stage2_baseline,fixedpred,8,64,256,70,20000,250,80.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":20000}"
s3b-cell-be63b4e18c0172b3a9d9,s3b-block-d5ff53aa5589df11a40e,stage2_baseline,strict,4,256,256,71,15000,250,60.0,1.0,0.75,1,0.0,"{""single_vjp_call"":15000}"
s3b-cell-bfa411ff005bf1696755,s3b-block-6343adee427ef9c6c1dc,isolated_layer_vjp,fixedpred,8,256,256,71,20000,250,80.0,1.0,1.0,1,0.0,"{""single_vjp_call"":20000}"
s3b-cell-c03aa97d447354eec300,s3b-block-c7dd1b63aab3be279169,isolated_layer_vjp,fixedpred,32,64,64,71,80000,250,320.0,1.0,1.0,1,0.0,"{""single_vjp_call"":80000}"
s3b-cell-c0b96227e42a89a51244,s3b-block-2038cde586d1edeab33e,isolated_layer_vjp,strict,4,256,256,72,15000,250,60.0,1.0,0.75,1,0.0,"{""single_vjp_call"":15000}"
s3b-cell-c1d4d3a7dc1f33be202c,s3b-block-d21540cc9c7bae2324da,stage2_baseline,fixedpred,4,64,64,71,10000,250,40.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":10000}"
s3b-cell-c2e235d89272f1574ea3,s3b-block-1018780e545ea1ba80e6,composite_vjp,fixedpred,32,64,256,71,2500,250,10.0,32.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-c2fd89c05571ed187152,s3b-block-5203a4d44e3a2f436ffe,composite_vjp,strict,32,256,64,71,5000,250,20.0,31.0,0.96875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-c376ec7c9ac96a612337,s3b-block-6bb2d4d9cc338b1ce65d,stage2_baseline,fixedpred,32,64,64,72,80000,250,320.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":80000}"
s3b-cell-c4a6f38909e6ffa17191,s3b-block-cef43a3b51b07d739d90,composite_vjp,strict,4,64,256,72,5000,250,20.0,3.0,0.75,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-c4b71a2b963d162682d1,s3b-block-66658e6e3b8416c34d1a,stage2_baseline,strict,8,256,256,71,35000,250,140.0,1.0,0.875,1,0.0,"{""single_vjp_call"":35000}"
s3b-cell-c64633d8dbae5648283a,s3b-block-2038cde586d1edeab33e,composite_vjp,strict,4,256,256,72,5000,250,20.0,3.0,0.75,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-c8d5708e75061134eff7,s3b-block-8dd17961dcd5ccbf7d3a,composite_vjp,strict,8,64,64,72,5000,250,20.0,7.0,0.875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-c9bc31dfe0d5a045f1c3,s3b-block-a828de0cbfc11c598661,composite_vjp,strict,32,256,64,70,5000,250,20.0,31.0,0.96875,1,0.0,"{""single_sweep_composite_vjp_call"":5000}"
s3b-cell-c9e1451e9256ff9d746e,s3b-block-2aeb2e45735b91688bf1,composite_vjp,fixedpred,8,64,256,70,2500,250,10.0,8.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-cb152c64bf9f0e48b184,s3b-block-0dcba60dfd67454824e3,stage2_baseline,fixedpred,16,256,256,71,40000,250,160.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":40000}"
s3b-cell-cb2b7f4572eeb11d99bb,s3b-block-a55c3a89c984c8936ba5,isolated_layer_vjp,fixedpred,8,64,64,70,20000,250,80.0,1.0,1.0,1,0.0,"{""single_vjp_call"":20000}"
s3b-cell-cdafef86dad427d26b64,s3b-block-248d76724a8cf4455766,stage2_baseline,fixedpred,4,64,256,70,10000,250,40.0,1.0,1.0,1,0.0,"{""reused_across_inference_sweeps"":10000}"
s3b-cell-cdebb42c7d3609e50fb5,s3b-block-79c2b893b57e307e1d01,composite_vjp,fixedpred,16,64,64,70,2500,250,10.0,16.0,1.0,1,0.0,"{""single_sweep_composite_vjp_call"":2500}"
s3b-cell-ceb0d61c38aee2a30063,s3b-block-8dd17961dcd5ccbf7d3a,stage2_baseline,strict,8,64,64,72,35000,250,140.0,1.0,0.875,1,0.0,"{""single_vjp_call"":35000}"
